Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Reference
"=""3p6.18d"",""=""""2D"""""",""=""""3/2"""""",""="""""""""",""=""""34660.5772"""""",""="""""""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.20s"",""=""""2S"""""",""=""""1/2"""""",""="""""""""",""=""""34664.2161"""""",""="""""""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.20p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""34681.7220"""""",""="""""""""",""=""""0.003"""""",""="""""""""",""=""""L5783"""""""
"=""3p6.19d"",""=""""2D"""""",""=""""5/2"""""",""="""""""""",""=""""34696.8629"""""",""="""""""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.19d"",""=""""2D"""""",""=""""3/2"""""",""="""""""""",""=""""34696.8689"""""",""="""""""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.21s"",""=""""2S"""""",""=""""1/2"""""",""="""""""""",""=""""34699.9692"""""",""="""""""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.21p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""34714.8646"""""",""="""""""""",""=""""0.003"""""",""="""""""""",""=""""L5783"""""""
"=""3p6.20d"",""=""""2D"""""",""=""""5/2"""""",""="""""""""",""=""""34727.7798"""""",""="""""""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.20d"",""=""""2D"""""",""=""""3/2"""""",""="""""""""",""=""""34727.7849"""""",""="""""""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.22s"",""=""""2S"""""",""=""""1/2"""""",""="""""""""",""=""""34730.4476"""""",""="""""""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.21d"",""=""""2D"""""",""=""""5/2"""""",""="""""""""",""=""""34754.3327"""""",""="""""""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.21d"",""=""""2D"""""",""=""""3/2"""""",""="""""""""",""=""""34754.3371"""""",""="""""""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.23s"",""=""""2S"""""",""=""""1/2"""""",""="""""""""",""=""""34756.6407"""""",""="""""""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.22d"",""=""""2D"""""",""=""""5/2"""""",""="""""""""",""=""""34777.3058"""""",""="""""""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.22d"",""=""""2D"""""",""=""""3/2"""""",""="""""""""",""=""""34777.3096"""""",""="""""""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.24s"",""=""""2S"""""",""=""""1/2"""""",""="""""""""",""=""""34779.3147"""""",""="""""""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.23d"",""=""""2D"""""",""=""""5/2"""""",""="""""""""",""=""""34797.3141"""""",""="""""""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.23d"",""=""""2D"""""",""=""""3/2"""""",""="""""""""",""=""""34797.3174"""""",""="""""""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.25s"",""=""""2S"""""",""=""""1/2"""""",""="""""""""",""=""""34799.0740"""""",""="""""""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.24d"",""=""""2D"""""",""=""""5/2"""""",""="""""""""",""=""""34814.8472"""""",""="""""""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.24d"",""=""""2D"""""",""=""""3/2"""""",""="""""""""",""=""""34814.8502"""""",""="""""""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.26s"",""=""""2S"""""",""=""""1/2"""""",""="""""""""",""=""""34816.3971"""""",""="""""""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.25d"",""=""""2D"""""",""=""""5/2"""""",""="""""""""",""=""""34830.2969"""""",""="""""""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.25d"",""=""""2D"""""",""=""""3/2"""""",""="""""""""",""=""""34830.2994"""""",""="""""""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.27s"",""=""""2S"""""",""=""""1/2"""""",""="""""""""",""=""""34831.6690"""""",""="""""""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
