Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Reference
"=""4p6.30p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""33544.26"""""",""="""""""""",""=""""0.06"""""",""=""""L9039"""""""
"=""4p6.30p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""33544.26"""""",""="""""""""",""=""""0.06"""""",""=""""L9039"""""""
"=""4p6.31p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""33554.47"""""",""="""""""""",""=""""0.06"""""",""=""""L9039"""""""
"=""4p6.31p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""33554.47"""""",""="""""""""",""=""""0.06"""""",""=""""L9039"""""""
"=""4p6.32p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""33563.57"""""",""="""""""""",""=""""0.06"""""",""=""""L9039"""""""
"=""4p6.32p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""33563.57"""""",""="""""""""",""=""""0.06"""""",""=""""L9039"""""""
"=""4p6.33p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""33571.85"""""",""="""""""""",""=""""0.06"""""",""=""""L9039"""""""
"=""4p6.33p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""33571.85"""""",""="""""""""",""=""""0.06"""""",""=""""L9039"""""""
"=""4p6.34p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""33579.34"""""",""="""""""""",""=""""0.06"""""",""=""""L9039"""""""
"=""4p6.34p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""33579.34"""""",""="""""""""",""=""""0.06"""""",""=""""L9039"""""""
"=""4p6.35p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""33586.11"""""",""="""""""""",""=""""0.06"""""",""=""""L9039"""""""
"=""4p6.35p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""33586.11"""""",""="""""""""",""=""""0.06"""""",""=""""L9039"""""""
"=""4p6.36p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""33592.31"""""",""="""""""""",""=""""0.06"""""",""=""""L9039"""""""
"=""4p6.36p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""33592.31"""""",""="""""""""",""=""""0.06"""""",""=""""L9039"""""""
"=""4p6.37p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""33597.96"""""",""="""""""""",""=""""0.06"""""",""=""""L9039"""""""
"=""4p6.37p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""33597.96"""""",""="""""""""",""=""""0.06"""""",""=""""L9039"""""""
"=""4p6.38p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""33603.14"""""",""="""""""""",""=""""0.06"""""",""=""""L9039"""""""
"=""4p6.38p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""33603.14"""""",""="""""""""",""=""""0.06"""""",""=""""L9039"""""""
"=""4p6.37d"",""=""""2D"""""",""=""""5/2"""""",""="""""""""",""=""""33604.6"""""",""="""""""""",""=""""0.3"""""",""=""""L9039"""""""
"=""4p6.37d"",""=""""2D"""""",""=""""3/2"""""",""="""""""""",""=""""33604.6"""""",""="""""""""",""=""""0.3"""""",""=""""L9039"""""""
"=""4p6.39s"",""=""""2S"""""",""=""""1/2"""""",""="""""""""",""=""""33605.7"""""",""="""""""""",""=""""0.3"""""",""=""""L9039"""""""
"=""4p6.39p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""33607.96"""""",""="""""""""",""=""""0.06"""""",""=""""L9039"""""""
"=""4p6.39p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""33607.96"""""",""="""""""""",""=""""0.06"""""",""=""""L9039"""""""
"=""4p6.38d"",""=""""2D"""""",""=""""5/2"""""",""="""""""""",""=""""33609.5"""""",""="""""""""",""=""""0.3"""""",""=""""L9039"""""""
"=""4p6.38d"",""=""""2D"""""",""=""""3/2"""""",""="""""""""",""=""""33609.5"""""",""="""""""""",""=""""0.3"""""",""=""""L9039"""""""
"=""4p6.40s"",""=""""2S"""""",""=""""1/2"""""",""="""""""""",""=""""33610.4"""""",""="""""""""",""=""""0.3"""""",""=""""L9039"""""""
"=""4p6.40p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""33612.34"""""",""="""""""""",""=""""0.06"""""",""=""""L9039"""""""
"=""4p6.40p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""33612.34"""""",""="""""""""",""=""""0.06"""""",""=""""L9039"""""""
"=""4p6.39d"",""=""""2D"""""",""=""""3/2"""""",""="""""""""",""=""""33613.7"""""",""="""""""""",""=""""0.3"""""",""=""""L9039"""""""
"=""4p6.39d"",""=""""2D"""""",""=""""5/2"""""",""="""""""""",""=""""33613.7"""""",""="""""""""",""=""""0.3"""""",""=""""L9039"""""""
"=""4p6.41s"",""=""""2S"""""",""=""""1/2"""""",""="""""""""",""=""""33614.5"""""",""="""""""""",""=""""0.3"""""",""=""""L9039"""""""
"=""4p6.41p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""33616.38"""""",""="""""""""",""=""""0.06"""""",""=""""L9039"""""""
"=""4p6.41p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""33616.38"""""",""="""""""""",""=""""0.06"""""",""=""""L9039"""""""
"=""4p6.40d"",""=""""2D"""""",""=""""5/2"""""",""="""""""""",""=""""33617.5"""""",""="""""""""",""=""""0.3"""""",""=""""L9039"""""""
"=""4p6.40d"",""=""""2D"""""",""=""""3/2"""""",""="""""""""",""=""""33617.5"""""",""="""""""""",""=""""0.3"""""",""=""""L9039"""""""
"=""4p6.42s"",""=""""2S"""""",""=""""1/2"""""",""="""""""""",""=""""33618.4"""""",""="""""""""",""=""""0.3"""""",""=""""L9039"""""""
"=""4p6.42p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""33620.15"""""",""="""""""""",""=""""0.06"""""",""=""""L9039"""""""
"=""4p6.42p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""33620.15"""""",""="""""""""",""=""""0.06"""""",""=""""L9039"""""""
"=""4p6.41d"",""=""""2D"""""",""=""""5/2"""""",""="""""""""",""=""""33621.3"""""",""="""""""""",""=""""0.3"""""",""=""""L9039"""""""
"=""4p6.41d"",""=""""2D"""""",""=""""3/2"""""",""="""""""""",""=""""33621.3"""""",""="""""""""",""=""""0.3"""""",""=""""L9039"""""""
"=""4p6.43s"",""=""""2S"""""",""=""""1/2"""""",""="""""""""",""=""""33621.9"""""",""="""""""""",""=""""0.3"""""",""=""""L9039"""""""
"=""4p6.43p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""33623.61"""""",""="""""""""",""=""""0.06"""""",""=""""L9039"""""""
"=""4p6.43p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""33623.61"""""",""="""""""""",""=""""0.06"""""",""=""""L9039"""""""
"=""4p6.42d"",""=""""2D"""""",""=""""3/2"""""",""="""""""""",""=""""33624.5"""""",""="""""""""",""=""""0.3"""""",""=""""L9039"""""""
"=""4p6.42d"",""=""""2D"""""",""=""""5/2"""""",""="""""""""",""=""""33624.5"""""",""="""""""""",""=""""0.3"""""",""=""""L9039"""""""
"=""4p6.44s"",""=""""2S"""""",""=""""1/2"""""",""="""""""""",""=""""33625.4"""""",""="""""""""",""=""""0.3"""""",""=""""L9039"""""""
"=""4p6.44p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""33626.83"""""",""="""""""""",""=""""0.06"""""",""=""""L9039"""""""
"=""4p6.44p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""33626.83"""""",""="""""""""",""=""""0.06"""""",""=""""L9039"""""""
"=""4p6.43d"",""=""""2D"""""",""=""""3/2"""""",""="""""""""",""=""""33627.7"""""",""="""""""""",""=""""0.3"""""",""=""""L9039"""""""
"=""4p6.43d"",""=""""2D"""""",""=""""5/2"""""",""="""""""""",""=""""33627.7"""""",""="""""""""",""=""""0.3"""""",""=""""L9039"""""""
"=""4p6.45s"",""=""""2S"""""",""=""""1/2"""""",""="""""""""",""=""""33628.4"""""",""="""""""""",""=""""0.3"""""",""=""""L9039"""""""
"=""4p6.45p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""33629.80"""""",""="""""""""",""=""""0.06"""""",""=""""L9039"""""""
"=""4p6.45p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""33629.80"""""",""="""""""""",""=""""0.06"""""",""=""""L9039"""""""
"=""4p6.44d"",""=""""2D"""""",""=""""3/2"""""",""="""""""""",""=""""33630.5"""""",""="""""""""",""=""""0.3"""""",""=""""L9039"""""""
"=""4p6.44d"",""=""""2D"""""",""=""""5/2"""""",""="""""""""",""=""""33630.5"""""",""="""""""""",""=""""0.3"""""",""=""""L9039"""""""
"=""4p6.46s"",""=""""2S"""""",""=""""1/2"""""",""="""""""""",""=""""33631.3"""""",""="""""""""",""=""""0.3"""""",""=""""L9039"""""""
"=""4p6.46p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""33632.00"""""",""="""""""""",""=""""0.06"""""",""=""""L9039"""""""
"=""4p6.46p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""33632.00"""""",""="""""""""",""=""""0.06"""""",""=""""L9039"""""""
"=""4p6.45d"",""=""""2D"""""",""=""""3/2"""""",""="""""""""",""=""""33633.5"""""",""="""""""""",""=""""0.3"""""",""=""""L9039"""""""
"=""4p6.45d"",""=""""2D"""""",""=""""5/2"""""",""="""""""""",""=""""33633.5"""""",""="""""""""",""=""""0.3"""""",""=""""L9039"""""""
"=""4p6.47s"",""=""""2S"""""",""=""""1/2"""""",""="""""""""",""=""""33633.9"""""",""="""""""""",""=""""0.3"""""",""=""""L9039"""""""
"=""4p6.47p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""33635.21"""""",""="""""""""",""=""""0.06"""""",""=""""L9039"""""""
"=""4p6.47p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""33635.21"""""",""="""""""""",""=""""0.06"""""",""=""""L9039"""""""
"=""4p6.46d"",""=""""2D"""""",""=""""3/2"""""",""="""""""""",""=""""33635.9"""""",""="""""""""",""=""""0.3"""""",""=""""L9039"""""""
"=""4p6.46d"",""=""""2D"""""",""=""""5/2"""""",""="""""""""",""=""""33635.9"""""",""="""""""""",""=""""0.3"""""",""=""""L9039"""""""
"=""4p6.48s"",""=""""2S"""""",""=""""1/2"""""",""="""""""""",""=""""33636.4"""""",""="""""""""",""=""""0.3"""""",""=""""L9039"""""""
"=""4p6.48p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""33637.63"""""",""="""""""""",""=""""0.06"""""",""=""""L9039"""""""
"=""4p6.48p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""33637.63"""""",""="""""""""",""=""""0.06"""""",""=""""L9039"""""""
"=""4p6.47d"",""=""""2D"""""",""=""""3/2"""""",""="""""""""",""=""""33638.3"""""",""="""""""""",""=""""0.3"""""",""=""""L9039"""""""
"=""4p6.47d"",""=""""2D"""""",""=""""5/2"""""",""="""""""""",""=""""33638.3"""""",""="""""""""",""=""""0.3"""""",""=""""L9039"""""""
"=""4p6.49s"",""=""""2S"""""",""=""""1/2"""""",""="""""""""",""=""""33638.8"""""",""="""""""""",""=""""0.3"""""",""=""""L9039"""""""
"=""4p6.49p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""33639.89"""""",""="""""""""",""=""""0.06"""""",""=""""L9039"""""""
"=""4p6.49p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""33639.89"""""",""="""""""""",""=""""0.06"""""",""=""""L9039"""""""
"=""4p6.48d"",""=""""2D"""""",""=""""3/2"""""",""="""""""""",""=""""33640.7"""""",""="""""""""",""=""""0.3"""""",""=""""L9039"""""""
"=""4p6.48d"",""=""""2D"""""",""=""""5/2"""""",""="""""""""",""=""""33640.7"""""",""="""""""""",""=""""0.3"""""",""=""""L9039"""""""
"=""4p6.50s"",""=""""2S"""""",""=""""1/2"""""",""=""""["""""",""=""""33641.0"""""",""=""""]"""""",""=""""0.3"""""",""=""""L9039"""""""
"=""4p6.50p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""33642.01"""""",""="""""""""",""=""""0.06"""""",""=""""L9039"""""""
"=""4p6.50p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""33642.01"""""",""="""""""""",""=""""0.06"""""",""=""""L9039"""""""
"=""4p6.49d"",""=""""2D"""""",""=""""3/2"""""",""="""""""""",""=""""33642.5"""""",""="""""""""",""=""""0.3"""""",""=""""L9039"""""""
"=""4p6.49d"",""=""""2D"""""",""=""""5/2"""""",""="""""""""",""=""""33642.5"""""",""="""""""""",""=""""0.3"""""",""=""""L9039"""""""
"=""4p6.51s"",""=""""2S"""""",""=""""1/2"""""",""="""""""""",""=""""33643.1"""""",""="""""""""",""=""""0.3"""""",""=""""L9039"""""""
"=""4p6.51p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""33644.02"""""",""="""""""""",""=""""0.06"""""",""=""""L9039"""""""
"=""4p6.51p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""33644.02"""""",""="""""""""",""=""""0.06"""""",""=""""L9039"""""""
"=""4p6.50d"",""=""""2D"""""",""=""""3/2"""""",""="""""""""",""=""""33644.7"""""",""="""""""""",""=""""0.3"""""",""=""""L9039"""""""
"=""4p6.50d"",""=""""2D"""""",""=""""5/2"""""",""="""""""""",""=""""33644.7"""""",""="""""""""",""=""""0.3"""""",""=""""L9039"""""""
