Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Reference
"=""1s2.21p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""43237.16"""""",""="""""""""",""=""""0.10"""""",""="""""""""""
"=""1s2.22p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""43259.14"""""",""="""""""""",""=""""0.10"""""",""="""""""""""
"=""1s2.22p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""43259.14"""""",""="""""""""",""=""""0.10"""""",""="""""""""""
"=""1s2.23p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""43278.96"""""",""="""""""""",""=""""0.10"""""",""="""""""""""
"=""1s2.23p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""43278.96"""""",""="""""""""",""=""""0.10"""""",""="""""""""""
"=""1s2.24p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""43296.03"""""",""="""""""""",""=""""0.10"""""",""="""""""""""
"=""1s2.24p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""43296.03"""""",""="""""""""",""=""""0.10"""""",""="""""""""""
"=""1s2.25p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""43311.45"""""",""="""""""""",""=""""0.10"""""",""="""""""""""
"=""1s2.25p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""43311.45"""""",""="""""""""",""=""""0.10"""""",""="""""""""""
"=""1s2.26p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""43324.81"""""",""="""""""""",""=""""0.10"""""",""="""""""""""
"=""1s2.26p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""43324.81"""""",""="""""""""",""=""""0.10"""""",""="""""""""""
"=""1s2.27p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""43336.40"""""",""="""""""""",""=""""0.10"""""",""="""""""""""
"=""1s2.27p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""43336.40"""""",""="""""""""",""=""""0.10"""""",""="""""""""""
"=""1s2.28p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""43346.39"""""",""="""""""""",""=""""0.10"""""",""="""""""""""
"=""1s2.28p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""43346.39"""""",""="""""""""",""=""""0.10"""""",""="""""""""""
"=""1s2.29p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""43354.91"""""",""="""""""""",""=""""0.10"""""",""="""""""""""
"=""1s2.29p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""43354.91"""""",""="""""""""",""=""""0.10"""""",""="""""""""""
"=""1s2.30p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""43363.71"""""",""="""""""""",""=""""0.10"""""",""="""""""""""
"=""1s2.30p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""43363.71"""""",""="""""""""",""=""""0.10"""""",""="""""""""""
"=""1s2.31p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""43372.06"""""",""="""""""""",""=""""0.10"""""",""="""""""""""
"=""1s2.31p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""43372.06"""""",""="""""""""",""=""""0.10"""""",""="""""""""""
"=""1s2.32p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""43378.31"""""",""="""""""""",""=""""0.10"""""",""="""""""""""
"=""1s2.32p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""43378.31"""""",""="""""""""",""=""""0.10"""""",""="""""""""""
"=""1s2.33p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""43384.9"""""",""="""""""""",""=""""1.0"""""",""="""""""""""
"=""1s2.33p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""43384.9"""""",""="""""""""",""=""""1.0"""""",""="""""""""""
"=""1s2.34p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""43390.3"""""",""="""""""""",""=""""1.0"""""",""="""""""""""
"=""1s2.34p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""43390.3"""""",""="""""""""",""=""""1.0"""""",""="""""""""""
