Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Reference
"=""26p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""32611.45"""""",""="""""""""",""=""""0.05"""""",""=""""L11797"""""""
"=""25d"",""=""""2D"""""",""=""""3/2"""""",""="""""""""",""=""""32613.15"""""",""="""""""""",""=""""0.03"""""",""=""""L11797"""""""
"=""25d"",""=""""2D"""""",""=""""5/2"""""",""="""""""""",""=""""32613.60"""""",""="""""""""",""=""""0.03"""""",""=""""L11797"""""""
"=""27s"",""=""""2S"""""",""=""""1/2"""""",""="""""""""",""=""""32620.67"""""",""="""""""""",""=""""0.03"""""",""=""""L11797"""""""
"=""27p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""32630.19"""""",""="""""""""",""=""""0.05"""""",""=""""L11797"""""""
"=""27p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""32632.09"""""",""="""""""""",""=""""0.05"""""",""=""""L11797"""""""
"=""26d"",""=""""2D"""""",""=""""3/2"""""",""="""""""""",""=""""32633.57"""""",""="""""""""",""=""""0.03"""""",""=""""L11797"""""""
"=""26d"",""=""""2D"""""",""=""""5/2"""""",""="""""""""",""=""""32633.97"""""",""="""""""""",""=""""0.03"""""",""=""""L11797"""""""
"=""28s"",""=""""2S"""""",""=""""1/2"""""",""="""""""""",""=""""32640.14"""""",""="""""""""",""=""""0.03"""""",""=""""L11797"""""""
"=""28p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""32648.48"""""",""="""""""""",""=""""0.05"""""",""=""""L11797"""""""
"=""28p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""32650.15"""""",""="""""""""",""=""""0.05"""""",""=""""L11797"""""""
"=""27d"",""=""""2D"""""",""=""""3/2"""""",""="""""""""",""=""""32651.44"""""",""="""""""""",""=""""0.03"""""",""=""""L11797"""""""
"=""27d"",""=""""2D"""""",""=""""5/2"""""",""="""""""""",""=""""32651.79"""""",""="""""""""",""=""""0.03"""""",""=""""L11797"""""""
"=""29s"",""=""""2S"""""",""=""""1/2"""""",""="""""""""",""=""""32657.22"""""",""="""""""""",""=""""0.03"""""",""=""""L11797"""""""
"=""29p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""32664.57"""""",""="""""""""",""=""""0.05"""""",""=""""L11797"""""""
"=""29p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""32666.04"""""",""="""""""""",""=""""0.05"""""",""=""""L11797"""""""
"=""28d"",""=""""2D"""""",""=""""3/2"""""",""="""""""""",""=""""32667.18"""""",""="""""""""",""=""""0.03"""""",""=""""L11797"""""""
"=""28d"",""=""""2D"""""",""=""""5/2"""""",""="""""""""",""=""""32667.49"""""",""="""""""""",""=""""0.03"""""",""=""""L11797"""""""
"=""30s"",""=""""2S"""""",""=""""1/2"""""",""="""""""""",""=""""32672.29"""""",""="""""""""",""=""""0.03"""""",""=""""L11797"""""""
"=""30p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""32678.80"""""",""="""""""""",""=""""0.05"""""",""=""""L11797"""""""
"=""30p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""32680.10"""""",""="""""""""",""=""""0.05"""""",""=""""L11797"""""""
"=""29d"",""=""""2D"""""",""=""""3/2"""""",""="""""""""",""=""""32681.11"""""",""="""""""""",""=""""0.03"""""",""=""""L11797"""""""
"=""29d"",""=""""2D"""""",""=""""5/2"""""",""="""""""""",""=""""32681.39"""""",""="""""""""",""=""""0.03"""""",""=""""L11797"""""""
"=""30d"",""=""""2D"""""",""=""""3/2"""""",""="""""""""",""=""""32693.50"""""",""="""""""""",""=""""0.03"""""",""=""""L11797"""""""
"=""30d"",""=""""2D"""""",""=""""5/2"""""",""="""""""""",""=""""32693.75"""""",""="""""""""",""=""""0.03"""""",""=""""L11797"""""""
