Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Leading percentages,Reference
"=""2p6.14p"",""=""""2P*"""""",""=""""3/2"""""",""=""""["""""",""=""""40814.352"""""",""=""""]"""""",""=""""0.002"""""",""=""""                                                                                              """""",""="""""""""""
"=""2p6.15s"",""=""""2S"""""",""=""""1/2"""""",""=""""["""""",""=""""40860.648"""""",""=""""]"""""",""=""""0.002"""""",""=""""                                                                                              """""",""="""""""""""
"=""2p6.14d"",""=""""2D"""""",""=""""5/2"""""",""=""""["""""",""=""""40888.386"""""",""=""""]"""""",""=""""0.002"""""",""=""""                                                                                              """""",""="""""""""""
"=""2p6.14d"",""=""""2D"""""",""=""""3/2"""""",""=""""["""""",""=""""40888.387"""""",""=""""]"""""",""=""""0.002"""""",""=""""                                                                                              """""",""="""""""""""
"=""2p6.14f"",""=""""2F*"""""",""=""""5/2,7/2"""""",""=""""["""""",""=""""40889.452"""""",""=""""]"""""",""=""""0.002"""""",""=""""                                                                                              """""",""="""""""""""
"=""2p6.14g"",""=""""2G"""""",""=""""7/2,9/2"""""",""=""""["""""",""=""""40889.546"""""",""=""""]"""""",""=""""0.002"""""",""=""""                                                                                              """""",""="""""""""""
"=""2p6.15p"",""=""""2P*"""""",""=""""1/2"""""",""=""""["""""",""=""""40900.922"""""",""=""""]"""""",""=""""0.002"""""",""=""""                                                                                              """""",""="""""""""""
"=""2p6.15p"",""=""""2P*"""""",""=""""3/2"""""",""=""""["""""",""=""""40900.985"""""",""=""""]"""""",""=""""0.002"""""",""=""""                                                                                              """""",""="""""""""""
"=""2p6.16s"",""=""""2S"""""",""=""""1/2"""""",""=""""["""""",""=""""40938.281"""""",""=""""]"""""",""=""""0.002"""""",""=""""                                                                                              """""",""="""""""""""
"=""2p6.15d"",""=""""2D"""""",""=""""3/2"""""",""=""""["""""",""=""""40960.771"""""",""=""""]"""""",""=""""0.002"""""",""=""""                                                                                              """""",""="""""""""""
"=""2p6.15d"",""=""""2D"""""",""=""""5/2"""""",""=""""["""""",""=""""40960.771"""""",""=""""]"""""",""=""""0.002"""""",""=""""                                                                                              """""",""="""""""""""
"=""2p6.15f"",""=""""2F*"""""",""=""""5/2,7/2"""""",""=""""["""""",""=""""40961.637"""""",""=""""]"""""",""=""""0.002"""""",""=""""                                                                                              """""",""="""""""""""
"=""2p6.15g"",""=""""2G"""""",""=""""7/2,9/2"""""",""=""""["""""",""=""""40961.714"""""",""=""""]"""""",""=""""0.002"""""",""=""""                                                                                              """""",""="""""""""""
"=""2p6.16p"",""=""""2P*"""""",""=""""1/2"""""",""=""""["""""",""=""""40970.976"""""",""=""""]"""""",""=""""0.002"""""",""=""""                                                                                              """""",""="""""""""""
"=""2p6.16p"",""=""""2P*"""""",""=""""3/2"""""",""=""""["""""",""=""""40971.028"""""",""=""""]"""""",""=""""0.002"""""",""=""""                                                                                              """""",""="""""""""""
"=""2p6.17s"",""=""""2S"""""",""=""""1/2"""""",""=""""["""""",""=""""41001.515"""""",""=""""]"""""",""=""""0.002"""""",""=""""                                                                                              """""",""="""""""""""
