Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Reference
"=""5p6.19d"",""=""""2D"""""",""=""""3/2"""""",""="""""""""",""=""""31004.5900"""""",""="""""""""",""=""""0.0005"""""",""=""""L7057,L5177"""""""
"=""5p6.19d"",""=""""2D"""""",""=""""5/2"""""",""="""""""""",""=""""31005.03231"""""",""="""""""""",""=""""0.00020"""""",""=""""L7057"""""""
"=""5p6.21s"",""=""""2S"""""",""=""""1/2"""""",""="""""""""",""=""""31024.50355"""""",""="""""""""",""=""""0.00020"""""",""=""""L7057"""""""
"=""5p6.17f"",""=""""2F*"""""",""=""""7/2"""""",""="""""""""",""=""""31025.28272"""""",""="""""""""",""=""""0.00017"""""",""=""""L7057,L4940"""""""
"=""5p6.17f"",""=""""2F*"""""",""=""""5/2"""""",""="""""""""",""=""""31025.28907"""""",""="""""""""",""=""""0.00015"""""",""=""""L7057"""""""
"=""5p6.17g"",""=""""2G"""""",""=""""7/2"""""",""="""""""""",""=""""31026.44832"""""",""="""""""""",""=""""0.00015"""""",""=""""L7057"""""""
"=""5p6.21p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""31044.31315"""""",""="""""""""",""=""""0.00015"""""",""=""""L7057"""""""
"=""5p6.21p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""31045.664"""""",""="""""""""",""=""""0.003"""""",""=""""L7057,L6284"""""""
"=""5p6.20d"",""=""""2D"""""",""=""""3/2"""""",""="""""""""",""=""""31049.1456"""""",""="""""""""",""=""""0.0005"""""",""=""""L7057,L5177"""""""
"=""5p6.20d"",""=""""2D"""""",""=""""5/2"""""",""="""""""""",""=""""31049.51701"""""",""="""""""""",""=""""0.00020"""""",""=""""L7057"""""""
"=""5p6.22s"",""=""""2S"""""",""=""""1/2"""""",""="""""""""",""=""""31065.88056"""""",""="""""""""",""=""""0.00020"""""",""=""""L7057"""""""
"=""5p6.18f"",""=""""2F*"""""",""=""""7/2"""""",""="""""""""",""=""""31066.53042"""""",""="""""""""",""=""""0.00016"""""",""=""""L7057,L4940"""""""
"=""5p6.18f"",""=""""2F*"""""",""=""""5/2"""""",""="""""""""",""=""""31066.53582"""""",""="""""""""",""=""""0.00015"""""",""=""""L7057"""""""
"=""5p6.18g"",""=""""2G"""""",""=""""7/2"""""",""="""""""""",""=""""31067.51435"""""",""="""""""""",""=""""0.00015"""""",""=""""L7057"""""""
"=""5p6.22p"",""=""""2P*"""""",""=""""1/2"""""",""=""""["""""",""=""""31082.5979"""""",""=""""]"""""",""=""""0.0002"""""",""=""""L7057"""""""
"=""5p6.22p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""31083.77"""""",""="""""""""",""=""""0.03"""""",""=""""L4891"""""""
"=""5p6.21d"",""=""""2D"""""",""=""""3/2"""""",""="""""""""",""=""""31086.6824"""""",""="""""""""",""=""""0.0005"""""",""=""""L7057,L5177"""""""
"=""5p6.21d"",""=""""2D"""""",""=""""5/2"""""",""="""""""""",""=""""31086.99717"""""",""="""""""""",""=""""0.00020"""""",""=""""L7057"""""""
"=""5p6.23s"",""=""""2S"""""",""=""""1/2"""""",""="""""""""",""=""""31100.88052"""""",""="""""""""",""=""""0.00020"""""",""=""""L7057"""""""
"=""5p6.19f"",""=""""2F*"""""",""=""""7/2"""""",""="""""""""",""=""""31101.42859"""""",""="""""""""",""=""""0.00017"""""",""=""""L7057,L6284"""""""
"=""5p6.19f"",""=""""2F*"""""",""=""""5/2"""""",""="""""""""",""=""""31101.43321"""""",""="""""""""",""=""""0.00015"""""",""=""""L7057"""""""
"=""5p6.19g"",""=""""2G"""""",""=""""7/2"""""",""=""""["""""",""=""""31102.26518"""""",""=""""]"""""",""=""""0.00015"""""",""=""""L7057"""""""
"=""5p6.23p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""31115.11733"""""",""="""""""""",""=""""0.00015"""""",""=""""L7057"""""""
"=""5p6.23p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""31116.0904"""""",""="""""""""",""=""""0.0002"""""",""=""""L7057,L6284"""""""
"=""5p6.22d"",""=""""2D"""""",""=""""3/2"""""",""="""""""""",""=""""31118.60105"""""",""="""""""""",""=""""0.0005"""""",""=""""L7057,L5177"""""""
"=""5p6.22d"",""=""""2D"""""",""=""""5/2"""""",""="""""""""",""=""""31118.86983"""""",""="""""""""",""=""""0.00020"""""",""=""""L7057"""""""
"=""5p6.24s"",""=""""2S"""""",""=""""1/2"""""",""="""""""""",""=""""31130.74987"""""",""="""""""""",""=""""0.00020"""""",""=""""L7057"""""""
"=""5p6.20f"",""=""""2F*"""""",""=""""7/2"""""",""="""""""""",""=""""31131.21615"""""",""="""""""""",""=""""0.00016"""""",""=""""L7057,L6284"""""""
"=""5p6.20f"",""=""""2F*"""""",""=""""5/2"""""",""="""""""""",""=""""31131.22012"""""",""="""""""""",""=""""0.00015"""""",""=""""L7057"""""""
"=""5p6.20g"",""=""""2G"""""",""=""""7/2"""""",""="""""""""",""=""""31131.93570"""""",""="""""""""",""=""""0.00015"""""",""=""""L7057"""""""
"=""5p6.24p"",""=""""2P*"""""",""=""""1/2"""""",""=""""["""""",""=""""31142.9734"""""",""=""""]"""""",""=""""0.0002"""""",""=""""L7057"""""""
"=""5p6.24p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""31143.84"""""",""="""""""""",""=""""0.03"""""",""=""""L4891"""""""
"=""5p6.23d"",""=""""2D"""""",""=""""3/2"""""",""="""""""""",""=""""31145.9690"""""",""="""""""""",""=""""0.0005"""""",""=""""L7057,L5177"""""""
"=""5p6.23d"",""=""""2D"""""",""=""""5/2"""""",""="""""""""",""=""""31146.20007"""""",""="""""""""",""=""""0.00020"""""",""=""""L7057"""""""
"=""5p6.25s"",""=""""2S"""""",""=""""1/2"""""",""="""""""""",""=""""31156.44439"""""",""="""""""""",""=""""0.00020"""""",""=""""L7057"""""""
"=""5p6.21f"",""=""""2F*"""""",""=""""7/2"""""",""=""""["""""",""=""""31156.8447"""""",""=""""]"""""",""=""""0.0002"""""",""=""""L7057,L6284"""""""
"=""5p6.21f"",""=""""2F*"""""",""=""""5/2"""""",""=""""["""""",""=""""31156.8482"""""",""=""""]"""""",""=""""0.0002"""""",""=""""L7057"""""""
"=""5p6.21g"",""=""""2G"""""",""=""""7/2"""""",""=""""["""""",""=""""31157.46595"""""",""=""""]"""""",""=""""0.00015"""""",""=""""L7057"""""""
"=""5p6.25p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""31167.01727"""""",""="""""""""",""=""""0.00015"""""",""=""""L7057"""""""
"=""5p6.25p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""31167.74257"""""",""="""""""""",""=""""0.00015"""""",""=""""L7057,L6284"""""""
"=""5p6.24d"",""=""""2D"""""",""=""""3/2"""""",""="""""""""",""=""""31169.6144"""""",""="""""""""",""=""""0.0005"""""",""=""""L6147"""""""
"=""5p6.24d"",""=""""2D"""""",""=""""5/2"""""",""="""""""""",""=""""31169.81187"""""",""="""""""""",""=""""0.00020"""""",""=""""L7057"""""""
"=""5p6.22f"",""=""""2F*"""""",""=""""7/2"""""",""="""""""""",""=""""31179.05392"""""",""="""""""""",""=""""0.00017"""""",""=""""L7057,L6284"""""""
"=""5p6.22f"",""=""""2F*"""""",""=""""5/2"""""",""="""""""""",""=""""31179.05692"""""",""="""""""""",""=""""0.00015"""""",""=""""L7057"""""""
"=""5p6.22g"",""=""""2G"""""",""=""""7/2"""""",""="""""""""",""=""""31179.59567"""""",""="""""""""",""=""""0.00015"""""",""=""""L7057"""""""
